Taluk,Projected_Population_2023_Male,Projected_Population_2023_Female,Projected_Population_2023_Total,Percentage Share to Total Population,Rank
Chikkodi,240783,231377,472160,8.39,1
Athani,225855,216307,442162,7.86,2
Raibag,249200,238619,487819,8.67,3
Gokak,241911,239716,481627,8.56,4
Hukkeri,229155,227200,456355,8.11,5
Belagavi,589932,570496,1160428,20.62,6
Khanapur,140261,136924,277185,4.92,7
Savadatti,154298,150097,304395,5.41,8
Bailhongal,179557,176483,356040,6.33,9
Ramadurg,152688,148847,301535,5.36,10
Kitthuru,50825,49477,100302,1.78,11
Nippani,130456,126963,257419,4.57,12
Kagavada,88125,84431,172556,3.07,13
Mudalagi,127094,125589,252683,4.49,14
Yaragatti,53423,52322,105745,1.88,15
Jamakhandi,157915,156482,314397,14.16,1
Bilagi,92645,92655,185300,8.34,2
Mudhol,151030,151266,302296,13.61,3
Badami,140860,138153,279013,12.56,4
Bagalkote,169860,168293,338153,15.23,5
Hungund,88128,86682,174810,7.87,6
Guledagudda,52856,52515,105371,4.74,7
Ilkal,96982,96003,192985,8.69,8
RABAKAVI BANAHATTI,166224,162267,328491,14.79,9
Bijapur,316319,306772,623091,22.88,1
Indi,189658,177055,366713,13.47,2
Sindagi,99681,94582,194263,7.13,3
Basavan Bagewadi,98510,95729,194239,7.13,4
Muddebihal,105128,103629,208757,7.67,5
Nidagundi,51847,50562,102409,3.76,6
Babaleshwara,72715,71175,143890,5.28,7
Chadachana,77475,72638,150113,5.51,8
Talikote,77530,76176,153706,5.64,9
Tikota,99760,92878,192638,7.07,10
Kolhara,52966,51112,104078,3.82,11
Devara Hipparagi,69105,66150,135255,4.97,12
Alamela,79509,74716,154225,5.66,13
Aland,191786,180529,372315,11.89,1
Afzalpur,143437,136080,279517,8.93,2
Gulbarga,487184,468810,955994,30.54,3
Chincholi,122947,121269,244216,7.8,4
Sedam,123057,124624,247681,7.91,5
Chittapur,141887,141095,282982,9.04,6
Jevargi,118098,115282,233380,7.46,7
Kalagi,61995,62697,124692,3.98,8
Kamalapura,74950,71825,146775,4.69,9
Yadrami,80251,76580,156831,5.01,10
Shahbadha,43025,42970,85995,2.75,11
Basavakalyan,196088,187640,383728,19.38,1
Bhalki,154512,148116,302628,15.28,2
Aurad,106320,101833,208153,10.51,3
Bidar,287140,272521,559661,28.26,4
Humnabad,116262,111273,227535,11.49,5
Chittaguppa,78439,75910,154349,7.79,6
Kamalanagara,58480,55732,114212,5.77,7
Hulasuru,15159,14767,29926,1.51,8
Lingasugur,189067,186022,375089,16.36,1
Devdurga,184758,185123,369881,16.13,2
Raichur,293225,292666,585891,25.55,3
Manvi,105078,106645,211723,9.23,4
Sindhanur,187435,188360,375795,16.39,5
Maski,109538,108931,218469,9.53,6
Sirivara,77735,78672,156407,6.82,7
Yelburga,95294,93076,188370,11.32,1
Kushtagi,195805,183216,379021,22.77,2
Gangavathi,138518,139424,277942,16.7,3
koppal,238292,233258,471550,28.33,4
Karatagi,71373,72033,143406,8.62,5
Kukanuru,46002,45587,91589,5.5,6
Kanakagiri,56704,55832,112536,6.76,7
Naragund,55589,53515,109104,9.19,1
Rona,74519,74048,148567,12.51,2
Gadag,207273,205250,412523,34.74,3
Shirahatti,49658,47984,97642,8.22,4
Mundargi,76742,74687,151429,12.75,5
Gajendragad,79883,66199,146082,12.3,6
Laxmeshwar,61902,60356,122258,10.29,7
Dharwad,308934,300717,609651,27.75,1
Navalgund,70616,67243,137859,6.28,2
Hubli,86758,83082,169840,7.73,3
Kalgatgi,94786,89149,183935,8.37,4
Kundgol,100816,96092,196908,8.96,5
Hubballi Nagara,386110,381612,767722,34.95,6
Alnavara,21494,20898,42392,1.93,7
ANNIGERI,44627,43727,88354,4.02,8
Karwar,84077,82698,166775,10.8,1
Joida,28116,27771,55887,3.62,2
Haliyal,57393,55593,112986,7.32,3
Yellapur,42779,41743,84522,5.47,4
Mundgod,61772,52311,114083,7.39,5
Sirsi,100898,99934,200832,13.01,6
Ankola,57981,57347,115328,7.47,7
Kumta,83493,82280,165773,10.73,8
Siddapur,51813,52759,104572,6.77,9
Honnavar,89394,89256,178650,11.57,10
Bhatkal,86769,86843,173612,11.24,11
Dandelli,35874,35336,71210,4.61,12
Shiggaon,111628,105210,216838,11.97,1
Savanur,95500,90010,185510,10.24,2
Hangal,153974,147167,301141,16.63,3
Haveri,162913,155153,318066,17.56,4
Byadagi,81057,77390,158447,8.75,5
Hirekerur,68606,65625,134231,7.41,6
Ranebennur,192684,182893,375577,20.74,7
Ratteehalli,62219,59125,121344,6.7,8
Siraguppa,156161,146935,303096,16.91,1
Ballari,418420,412105,830525,46.33,2
Sonduru,193093,193979,387072,21.59,3
Kurugodu,66836,66921,133757,7.46,4
Kampli,68637,69563,138200,7.71,5
Molakalmuru,81966,78760,160726,8.7,1
Challakere,208205,201396,409601,22.18,2
Chitradurga,247240,241191,488431,26.45,3
Holalkere,110955,108073,219028,11.86,4
Hosadurga,129313,125861,255174,13.82,5
Hiriyur,158151,155750,313901,17,6
Harihar,134398,129708,264106,14.66,1
Jagaluru,95212,92861,188073,10.44,2
Davanagere,399674,390927,790601,43.88,3
Honnali,74543,75465,150008,8.32,4
Channagiri,158710,155131,313841,17.42,5
Nyamati,49774,45503,95277,5.29,6
Sagara,104991,106826,211817,11.18,1
Soraba,110638,109043,219681,11.59,2
Shikaripura,136817,133687,270504,14.28,3
Hosanagar,59943,61188,121131,6.39,4
Thirthahalli,68645,70863,139508,7.36,5
Shimoga,298052,294309,592361,31.26,6
Bhadravathi,169852,169953,339805,17.93,7
Kundapur,131861,148436,280297,22.24,1
Udupi,138854,144452,283306,22.47,2
Karkala,91362,99922,191284,15.17,3
Bynduru,62633,70258,132891,10.54,4
Bramhavara,86558,94914,181472,14.4,5
Kapu,66610,74851,141461,11.22,6
Hebri,24143,25700,49843,3.95,7
Sringeri,18592,19065,37657,3.32,1
Koppa,40889,42224,83113,7.33,2
Narasimharajapura,33508,34710,68218,6.01,3
Tarikere,73787,74028,147815,13.03,4
Kadur,138173,137248,275421,24.28,5
Chikmagalur,158788,160365,319153,28.13,6
Mudigere,33479,34754,68233,6.01,7
Ajjampura,52352,51244,103596,9.13,8
Kalasa,15582,15650,31232,2.75,9
Chiknayakanahalli,106466,107454,213920,7.65,1
Sira,166158,161754,327912,11.73,2
Pavagada,122416,120261,242677,8.68,3
Madhugiri,135252,133763,269015,9.62,4
Koratagere,87916,86754,174670,6.25,5
Tumkur,356651,340165,696816,24.92,6
Gubbi,135260,133526,268786,9.61,7
Tiptur,114125,114316,228441,8.17,8
Turuvekere,80269,81324,161593,5.78,9
Kunigal,106327,106495,212822,7.61,10
Srinivaspura,112768,110709,223477,12.87,1
Kolar,223672,218089,441761,25.43,2
Malur,141295,135127,276422,15.91,3
BANGARPET,90990,89908,180898,10.41,4
Mulabagilu,148337,146000,294337,16.95,5
K.G.F,160819,159267,320086,18.43,6
Bangalore (North),3339144,3161492,6500636,42.49,1
Bangalore-South,2507093,2349102,4856195,31.74,2
Anekal,538545,449292,987837,6.46,3
Bangalore-East,887768,857251,1745019,11.41,4
Yelahanka,626116,583623,1209739,7.91,5
Nelamangala,134284,129133,263417,22.14,1
Doddaballapura,174937,166422,341359,28.7,2
Devanahalli,124726,117693,242419,20.38,3
Hoskote,177382,164998,342380,28.78,4
Krishnarajpet,132369,132366,264735,14.25,1
Nagamangala,91832,92362,184194,9.92,2
Pandavpura,97175,96409,193584,10.42,3
Srirangapatna,101299,101649,202948,10.93,4
Mandya,214356,212237,426593,22.97,5
Maddur,150568,150235,300803,16.19,6
Malavalli,143430,141286,284716,15.33,7
Sakleshpura,59687,61947,121634,6.59,1
Belur,91492,93348,184840,10.02,2
Arsikere,165206,165083,330289,17.91,3
Hassan,220038,222191,442229,23.98,4
Alur,41541,42281,83822,4.54,5
Arkalgud,104912,104903,209815,11.38,6
Holenarasipura,95703,94715,190418,10.32,7
Channarayapatna,139055,142324,281379,15.26,8
Mangalore,414453,421339,835792,35.63,1
Bantwal,167211,169422,336633,14.35,2
Belthangady,137871,140698,278569,11.88,3
Puttur,82687,83594,166281,7.09,4
Sulya,64012,65461,129473,5.52,5
Mudabidri,56099,58273,114372,4.88,6
Kadaba,81392,81703,163095,6.95,7
Mulki,35120,38835,73955,3.15,8
Ullala,122615,124956,247571,10.55,9
Madikeri,75480,76166,151646,27,1
Somavarapete,65405,67648,133053,23.69,2
Virajpet,54138,54956,109094,19.42,3
Ponnampete,45492,46603,92095,16.39,4
Kushalanagara,37614,38253,75867,13.51,5
Piriyapatna,145436,137935,283371,8.1,1
Hunsur,166643,163228,329871,9.43,2
K.R.Nagar,147516,147025,294541,8.42,3
Mysuru,752292,741958,1494250,42.71,4
Heggadadevanakote,105678,103363,209041,5.97,5
Nanjangud,225038,223693,448731,12.83,6
T.Narasipura,170504,169943,340447,9.73,7
Saraguru,49076,49304,98380,2.81,8
Gundlupet,117367,118267,235634,21.59,1
Chamarajanagara,191449,192188,383637,35.15,2
Yalandur,43764,43461,87225,7.99,3
Kollegala,92130,91844,183974,16.86,4
Kollegala(Hanur),103014,97903,200917,18.41,5
Gauribidanur,160052,156680,316732,22.7,1
Chikballapur,123622,117747,241369,17.3,2
Gudibande,30674,30319,60993,4.37,3
Bagepalli,102023,99483,201506,14.44,4
Shidlagatta,122665,118492,241157,17.28,5
Chinthamani,168604,165069,333673,23.91,6
Magadi,103237,101902,205139,17.86,1
Ramanagar,155876,148694,304570,26.52,2
Channapatna,135623,136132,271755,23.66,3
Kanakpura,135994,131471,267465,23.29,4
Harohalli,50881,48821,99702,8.68,5
Yadgir,166418,166863,333281,22.18,1
Shahapur,168531,164646,333177,22.17,2
Shorapur,163927,161923,325850,21.69,3
Gurumithakala,86537,87293,173830,11.57,4
Vadagera,68660,68240,136900,9.11,5
Hunisigi,101338,98222,199560,13.28,6
Hospet,235214,236125,471339,28.79,1
Kudligi,132324,127312,259636,15.86,2
Hagaribommanahalli,109561,106862,216423,13.22,3
Harapanahalli,177083,169522,346605,21.17,4
Kotturu,56276,54196,110472,6.75,5
Hadagali,117916,114941,232857,14.22,6
State_total,37516062,36501786,74017848,100,NA
